Text,Language
"['nature', 'can', 'refer', 'to', 'the', 'general', 'realm', 'of', 'living', 'plants', 'and', 'animals', 'and', 'in', 'some', 'cases', 'to', 'the', 'processes', 'associated', 'with', 'inanimate', 'objectsthe', 'way', 'that', 'particular', 'types', 'of', 'things', 'exist', 'and', 'change', 'of', 'their', 'own', 'accord', 'such', 'as', 'the', 'weather', 'and', 'geology', 'of', 'the', 'earth']",English
"['it', 'is', 'often', 'taken', 'to', 'mean', 'the', 'natural', 'environment', 'or', 'wildernesswild', 'animals', 'rocks', 'forest', 'and', 'in', 'general', 'those', 'things', 'that', 'have', 'not', 'been', 'substantially', 'altered', 'by', 'human', 'intervention', 'or', 'which', 'persist', 'despite', 'human', 'intervention']",English
"['for', 'example', 'manufactured', 'objects', 'and', 'human', 'interaction', 'generally', 'are', 'not', 'considered', 'part', 'of', 'nature', 'unless', 'qualified', 'as', 'for', 'example', 'human', 'nature', 'or', 'the', 'whole', 'of', 'nature']",English
"['this', 'more', 'traditional', 'concept', 'of', 'natural', 'things', 'that', 'can', 'still', 'be', 'found', 'today', 'implies', 'a', 'distinction', 'between', 'the', 'natural', 'and', 'the', 'artificial', 'with', 'the', 'artificial', 'being', 'understood', 'as', 'that', 'which', 'has', 'been', 'brought', 'into', 'being', 'by', 'a', 'human', 'consciousness', 'or', 'a', 'human', 'mind']",English
"['depending', 'on', 'the', 'particular', 'context', 'the', 'term', 'natural', 'might', 'also', 'be', 'distinguished', 'from', 'the', 'unnatural', 'or', 'the', 'supernatural']",English
"['earth', 'is', 'the', 'only', 'planet', 'known', 'to', 'support', 'life', 'and', 'its', 'natural', 'features', 'are', 'the', 'subject', 'of', 'many', 'fields', 'of', 'scientific', 'research']",English
"['within', 'the', 'solar', 'system', 'it', 'is', 'third', 'closest', 'to', 'the', 'sun', 'it', 'is', 'the', 'largest', 'terrestrial', 'planet', 'and', 'the', 'fifth', 'largest', 'overall']",English
"['its', 'most', 'prominent', 'climatic', 'features', 'are', 'its', 'two', 'large', 'polar', 'regions', 'two', 'relatively', 'narrow', 'temperate', 'zones', 'and', 'a', 'wide', 'equatorial', 'tropical', 'to', 'subtropical', 'region']",English
"['precipitation', 'varies', 'widely', 'with', 'location', 'from', 'several', 'metres', 'of', 'water', 'per', 'year', 'to', 'less', 'than', 'a', 'millimetre']",English
"['percent', 'of', 'the', 'earths', 'surface', 'is', 'covered', 'by', 'saltwater', 'oceans']",English
"['the', 'remainder', 'consists', 'of', 'continents', 'and', 'islands', 'with', 'most', 'of', 'the', 'inhabited', 'land', 'in', 'the', 'northern', 'hemisphere']",English
"['earth', 'has', 'evolved', 'through', 'geological', 'and', 'biological', 'processes', 'that', 'have', 'left', 'traces', 'of', 'the', 'original', 'conditions']",English
"['the', 'outer', 'surface', 'is', 'divided', 'into', 'several', 'gradually', 'migrating', 'tectonic', 'plates']",English
"['the', 'interior', 'remains', 'active', 'with', 'a', 'thick', 'layer', 'of', 'plastic', 'mantle', 'and', 'an', 'ironfilled', 'core', 'that', 'generates', 'a', 'magnetic', 'field']",English
"['this', 'iron', 'core', 'is', 'composed', 'of', 'a', 'solid', 'inner', 'phase', 'and', 'a', 'fluid', 'outer', 'phase']",English
"['convective', 'motion', 'in', 'the', 'core', 'generates', 'electric', 'currents', 'through', 'dynamo', 'action', 'and', 'these', 'in', 'turn', 'generate', 'the', 'geomagnetic', 'field']",English
"['the', 'atmospheric', 'conditions', 'have', 'been', 'significantly', 'altered', 'from', 'the', 'original', 'conditions', 'by', 'the', 'presence', 'of', 'lifeforms', 'which', 'create', 'an', 'ecological', 'balance', 'that', 'stabilizes', 'the', 'surface', 'conditions']",English
"['despite', 'the', 'wide', 'regional', 'variations', 'in', 'climate', 'by', 'latitude', 'and', 'other', 'geographic', 'factors', 'the', 'longterm', 'average', 'global', 'climate', 'is', 'quite', 'stable', 'during', 'interglacial', 'periods', 'and', 'variations', 'of', 'a', 'degree', 'or', 'two', 'of', 'average', 'global', 'temperature', 'have', 'historically', 'had', 'major', 'effects', 'on', 'the', 'ecological', 'balance', 'and', 'on', 'the', 'actual', 'geography', 'of', 'the', 'earth']",English
"['geology', 'is', 'the', 'science', 'and', 'study', 'of', 'the', 'solid', 'and', 'liquid', 'matter', 'that', 'constitutes', 'the', 'earth']",English
"['the', 'field', 'of', 'geology', 'encompasses', 'the', 'study', 'of', 'the', 'composition', 'structure', 'physical', 'properties', 'dynamics', 'and', 'history', 'of', 'earth', 'materials', 'and', 'the', 'processes', 'by', 'which', 'they', 'are', 'formed', 'moved', 'and', 'changed']",English
"['the', 'field', 'is', 'a', 'major', 'academic', 'discipline', 'and', 'is', 'also', 'important', 'for', 'mineral', 'and', 'hydrocarbon', 'extraction', 'knowledge', 'about', 'and', 'mitigation', 'of', 'natural', 'hazards', 'some', 'geotechnical', 'engineering', 'fields', 'and', 'understanding', 'past', 'climates', 'and', 'environments']",English
"['the', 'geology', 'of', 'an', 'area', 'evolves', 'through', 'time', 'as', 'rock', 'units', 'are', 'deposited', 'and', 'inserted', 'and', 'deformational', 'processes', 'change', 'their', 'shapes', 'and', 'locations']",English
"['rock', 'units', 'are', 'first', 'emplaced', 'either', 'by', 'deposition', 'onto', 'the', 'surface', 'or', 'intrude', 'into', 'the', 'overlying', 'rock']",English
"['deposition', 'can', 'occur', 'when', 'sediments', 'settle', 'onto', 'the', 'surface', 'of', 'the', 'earth', 'and', 'later', 'lithify', 'into', 'sedimentary', 'rock', 'or', 'when', 'as', 'volcanic', 'material', 'such', 'as', 'volcanic', 'ash', 'or', 'lava', 'flows', 'blanket', 'the', 'surface']",English
"['igneous', 'intrusions', 'such', 'as', 'batholiths', 'laccoliths', 'dikes', 'and', 'sills', 'push', 'upwards', 'into', 'the', 'overlying', 'rock', 'and', 'crystallize', 'as', 'they', 'intrude']",English
"['after', 'the', 'initial', 'sequence', 'of', 'rocks', 'has', 'been', 'deposited', 'the', 'rock', 'units', 'can', 'be', 'deformed', 'andor', 'metamorphosed']",English
"['deformation', 'typically', 'occurs', 'as', 'a', 'result', 'of', 'horizontal', 'shortening', 'horizontal', 'extension', 'or', 'sidetoside', 'strikeslip', 'motion']",English
"['these', 'structural', 'regimes', 'broadly', 'relate', 'to', 'convergent', 'boundaries', 'divergent', 'boundaries', 'and', 'transform', 'boundaries', 'respectively', 'between', 'tectonic', 'plates']",English
"['earth', 'is', 'estimated', 'to', 'have', 'formed', 'billion', 'years', 'ago', 'from', 'the', 'solar', 'nebula', 'along', 'with', 'the', 'sun', 'and', 'other', 'planets']",English
"['the', 'moon', 'formed', 'roughly', 'million', 'years', 'later']",English
"['initially', 'molten', 'the', 'outer', 'layer', 'of', 'the', 'earth', 'cooled', 'resulting', 'in', 'the', 'solid', 'crust']",English
"['outgassing', 'and', 'volcanic', 'activity', 'produced', 'the', 'primordial', 'atmosphere']",English
"['condensing', 'water', 'vapor', 'most', 'or', 'all', 'of', 'which', 'came', 'from', 'ice', 'delivered', 'by', 'comets', 'produced', 'the', 'oceans', 'and', 'other', 'water', 'sources']",English
"['the', 'highly', 'energetic', 'chemistry', 'is', 'believed', 'to', 'have', 'produced', 'a', 'selfreplicating', 'molecule', 'around', 'billion', 'years', 'ago']",English
"['continents', 'formed', 'then', 'broke', 'up', 'and', 'reformed', 'as', 'the', 'surface', 'of', 'earth', 'reshaped', 'over', 'hundreds', 'of', 'millions', 'of', 'years', 'occasionally', 'combining', 'to', 'make', 'a', 'supercontinent']",English
"['roughly', 'million', 'years', 'ago', 'the', 'earliest', 'known', 'supercontinent', 'rodinia', 'began', 'to', 'break', 'apart']",English
"['the', 'continents', 'later', 'recombined', 'to', 'form', 'pannotia', 'which', 'broke', 'apart', 'about', 'million', 'years', 'ago', 'then', 'finally', 'pangaea', 'which', 'broke', 'apart', 'about', 'million', 'years', 'ago']",English
"['during', 'the', 'neoproterozoic', 'era', 'freezing', 'temperatures', 'covered', 'much', 'of', 'the', 'earth', 'in', 'glaciers', 'and', 'ice', 'sheets']",English
"['this', 'hypothesis', 'has', 'been', 'termed', 'the', 'snowball', 'earth', 'and', 'it', 'is', 'of', 'particular', 'interest', 'as', 'it', 'precedes', 'the', 'cambrian', 'explosion', 'in', 'which', 'multicellular', 'life', 'forms', 'began', 'to', 'proliferate', 'about', 'million', 'years', 'ago']",English
"['since', 'the', 'cambrian', 'explosion', 'there', 'have', 'been', 'five', 'distinctly', 'identifiable', 'mass', 'extinctions']",English
"['the', 'last', 'mass', 'extinction', 'occurred', 'some', 'million', 'years', 'ago', 'when', 'a', 'meteorite', 'collision', 'probably', 'triggered', 'the', 'extinction', 'of', 'the', 'nonavian', 'dinosaurs', 'and', 'other', 'large', 'reptiles', 'but', 'spared', 'small', 'animals', 'such', 'as', 'mammals']",English
"['over', 'the', 'past', 'million', 'years', 'mammalian', 'life', 'diversified']",English
"['several', 'million', 'years', 'ago', 'a', 'species', 'of', 'small', 'african', 'ape', 'gained', 'the', 'ability', 'to', 'stand', 'upright']",English
"['the', 'subsequent', 'advent', 'of', 'human', 'life', 'and', 'the', 'development', 'of', 'agriculture', 'and', 'further', 'civilization', 'allowed', 'humans', 'to', 'affect', 'the', 'earth', 'more', 'rapidly', 'than', 'any', 'previous', 'life', 'form', 'affecting', 'both', 'the', 'nature', 'and', 'quantity', 'of', 'other', 'organisms', 'as', 'well', 'as', 'global', 'climate']",English
"['by', 'comparison', 'the', 'great', 'oxygenation', 'event', 'produced', 'by', 'the', 'proliferation', 'of', 'algae', 'during', 'the', 'siderian', 'period', 'required', 'about', 'million', 'years', 'to', 'culminate']",English
"['the', 'present', 'era', 'is', 'classified', 'as', 'part', 'of', 'a', 'mass', 'extinction', 'event', 'the', 'holocene', 'extinction', 'event', 'the', 'fastest', 'ever', 'to', 'have', 'occurred']",English
"['some', 'such', 'as', 'e', 'o', 'wilson', 'of', 'harvard', 'university', 'predict', 'that', 'human', 'destruction', 'of', 'the', 'biosphere', 'could', 'cause', 'the', 'extinction', 'of', 'onehalf', 'of', 'all', 'species', 'in', 'the', 'next', 'years']",English
"['the', 'extent', 'of', 'the', 'current', 'extinction', 'event', 'is', 'still', 'being', 'researched', 'debated', 'and', 'calculated', 'by', 'biologists']",English
"['the', 'earths', 'atmosphere', 'is', 'a', 'key', 'factor', 'in', 'sustaining', 'the', 'ecosystem']",English
"['the', 'thin', 'layer', 'of', 'gases', 'that', 'envelops', 'the', 'earth', 'is', 'held', 'in', 'place', 'by', 'gravity']",English
"['air', 'is', 'mostly', 'nitrogen', 'oxygen', 'water', 'vapor', 'with', 'much', 'smaller', 'amounts', 'of', 'carbon', 'dioxide', 'argon', 'etc']",English
"['the', 'atmospheric', 'pressure', 'declines', 'steadily', 'with', 'altitude']",English
"['the', 'ozone', 'layer', 'plays', 'an', 'important', 'role', 'in', 'depleting', 'the', 'amount', 'of', 'ultraviolet', 'uv', 'radiation', 'that', 'reaches', 'the', 'surface']",English
"['as', 'dna', 'is', 'readily', 'damaged', 'by', 'uv', 'light', 'this', 'serves', 'to', 'protect', 'life', 'at', 'the', 'surface']",English
"['the', 'atmosphere', 'also', 'retains', 'heat', 'during', 'the', 'night', 'thereby', 'reducing', 'the', 'daily', 'temperature', 'extremes']",English
"['terrestrial', 'weather', 'occurs', 'almost', 'exclusively', 'in', 'the', 'lower', 'part', 'of', 'the', 'atmosphere', 'and', 'serves', 'as', 'a', 'convective', 'system', 'for', 'redistributing', 'heat']",English
"['ocean', 'currents', 'are', 'another', 'important', 'factor', 'in', 'determining', 'climate', 'particularly', 'the', 'major', 'underwater', 'thermohaline', 'circulation', 'which', 'distributes', 'heat', 'energy', 'from', 'the', 'equatorial', 'oceans', 'to', 'the', 'polar', 'regions']",English
"['these', 'currents', 'help', 'to', 'moderate', 'the', 'differences', 'in', 'temperature', 'between', 'winter', 'and', 'summer', 'in', 'the', 'temperate', 'zones']",English
"['also', 'without', 'the', 'redistributions', 'of', 'heat', 'energy', 'by', 'the', 'ocean', 'currents', 'and', 'atmosphere', 'the', 'tropics', 'would', 'be', 'much', 'hotter', 'and', 'the', 'polar', 'regions', 'much', 'colder']",English
"['weather', 'can', 'have', 'both', 'beneficial', 'and', 'harmful', 'effects']",English
"['extremes', 'in', 'weather', 'such', 'as', 'tornadoes', 'or', 'hurricanes', 'and', 'cyclones', 'can', 'expend', 'large', 'amounts', 'of', 'energy', 'along', 'their', 'paths', 'and', 'produce', 'devastation']",English
"['surface', 'vegetation', 'has', 'evolved', 'a', 'dependence', 'on', 'the', 'seasonal', 'variation', 'of', 'the', 'weather', 'and', 'sudden', 'changes', 'lasting', 'only', 'a', 'few', 'years', 'can', 'have', 'a', 'dramatic', 'effect', 'both', 'on', 'the', 'vegetation', 'and', 'on', 'the', 'animals', 'which', 'depend', 'on', 'its', 'growth', 'for', 'their', 'food']",English
"['climate', 'is', 'a', 'measure', 'of', 'the', 'longterm', 'trends', 'in', 'the', 'weather']",English
"['various', 'factors', 'are', 'known', 'to', 'influence', 'the', 'climate', 'including', 'ocean', 'currents', 'surface', 'albedo', 'greenhouse', 'gases', 'variations', 'in', 'the', 'solar', 'luminosity', 'and', 'changes', 'to', 'the', 'earths', 'orbit']",English
"['based', 'on', 'historical', 'records', 'the', 'earth', 'is', 'known', 'to', 'have', 'undergone', 'drastic', 'climate', 'changes', 'in', 'the', 'past', 'including', 'ice', 'ages']",English
"['the', 'climate', 'of', 'a', 'region', 'depends', 'on', 'a', 'number', 'of', 'factors', 'especially', 'latitude']",English
"['a', 'latitudinal', 'band', 'of', 'the', 'surface', 'with', 'similar', 'climatic', 'attributes', 'forms', 'a', 'climate', 'region']",English
"['there', 'are', 'a', 'number', 'of', 'such', 'regions', 'ranging', 'from', 'the', 'tropical', 'climate', 'at', 'the', 'equator', 'to', 'the', 'polar', 'climate', 'in', 'the', 'northern', 'and', 'southern', 'extremes']",English
"['weather', 'is', 'also', 'influenced', 'by', 'the', 'seasons', 'which', 'result', 'from', 'the', 'earths', 'axis', 'being', 'tilted', 'relative', 'to', 'its', 'orbital', 'plane']",English
"['thus', 'at', 'any', 'given', 'time', 'during', 'the', 'summer', 'or', 'winter', 'one', 'part', 'of', 'the', 'earth', 'is', 'more', 'directly', 'exposed', 'to', 'the', 'rays', 'of', 'the', 'sun']",English
"['this', 'exposure', 'alternates', 'as', 'the', 'earth', 'revolves', 'in', 'its', 'orbit']",English
"['at', 'any', 'given', 'time', 'regardless', 'of', 'season', 'the', 'northern', 'and', 'southern', 'hemispheres', 'experience', 'opposite', 'seasons']",English
"['weather', 'is', 'a', 'chaotic', 'system', 'that', 'is', 'readily', 'modified', 'by', 'small', 'changes', 'to', 'the', 'environment', 'so', 'accurate', 'weather', 'forecasting', 'is', 'limited', 'to', 'only', 'a', 'few', 'days']",English
"['overall', 'two', 'things', 'are', 'happening', 'worldwide', 'temperature', 'is', 'increasing', 'on', 'the', 'average', 'and', 'regional', 'climates', 'have', 'been', 'undergoing', 'noticeable', 'changes']",English
"['water', 'is', 'a', 'chemical', 'substance', 'that', 'is', 'composed', 'of', 'hydrogen', 'and', 'oxygen', 'ho', 'and', 'is', 'vital', 'for', 'all', 'known', 'forms', 'of', 'life']",English
"['in', 'typical', 'usage', 'water', 'refers', 'only', 'to', 'its', 'liquid', 'form', 'or', 'state', 'but', 'the', 'substance', 'also', 'has', 'a', 'solid', 'state', 'ice', 'and', 'a', 'gaseous', 'state', 'water', 'vapor', 'or', 'steam']",English
"['water', 'covers', 'of', 'the', 'earths', 'surface']",English
"['on', 'earth', 'it', 'is', 'found', 'mostly', 'in', 'oceans', 'and', 'other', 'large', 'bodies', 'of', 'water', 'with', 'of', 'water', 'below', 'ground', 'in', 'aquifers', 'and', 'in', 'the', 'air', 'as', 'vapor', 'clouds', 'and', 'precipitation']",English
"['oceans', 'hold', 'of', 'surface', 'water', 'glaciers', 'and', 'polar', 'ice', 'caps', 'and', 'other', 'land', 'surface', 'water', 'such', 'as', 'rivers', 'lakes', 'and', 'ponds']",English
"['additionally', 'a', 'minute', 'amount', 'of', 'the', 'earths', 'water', 'is', 'contained', 'within', 'biological', 'bodies', 'and', 'manufactured', 'products']",English
"['an', 'ocean', 'is', 'a', 'major', 'body', 'of', 'saline', 'water', 'and', 'a', 'principal', 'component', 'of', 'the', 'hydrosphere']",English
"['approximately', 'of', 'the', 'earths', 'surface', 'an', 'area', 'of', 'some', 'million', 'square', 'kilometers', 'is', 'covered', 'by', 'ocean', 'a', 'continuous', 'body', 'of', 'water', 'that', 'is', 'customarily', 'divided', 'into', 'several', 'principal', 'oceans', 'and', 'smaller', 'seas']",English
"['more', 'than', 'half', 'of', 'this', 'area', 'is', 'over', 'meters', 'feet', 'deep']",English
"['average', 'oceanic', 'salinity', 'is', 'around', 'parts', 'per', 'thousand', 'ppt', 'and', 'nearly', 'all', 'seawater', 'has', 'a', 'salinity', 'in', 'the', 'range', 'of', 'to', 'ppt']",English
"['though', 'generally', 'recognized', 'as', 'several', 'separate', 'oceans', 'these', 'waters', 'comprise', 'one', 'global', 'interconnected', 'body', 'of', 'salt', 'water', 'often', 'referred', 'to', 'as', 'the', 'world', 'ocean', 'or', 'global', 'ocean']",English
"['this', 'concept', 'of', 'a', 'global', 'ocean', 'as', 'a', 'continuous', 'body', 'of', 'water', 'with', 'relatively', 'free', 'interchange', 'among', 'its', 'parts', 'is', 'of', 'fundamental', 'importance', 'to', 'oceanography']",English
"['the', 'major', 'oceanic', 'divisions', 'are', 'defined', 'in', 'part', 'by', 'the', 'continents', 'various', 'archipelagos', 'and', 'other', 'criteria', 'these', 'divisions', 'are', 'in', 'descending', 'order', 'of', 'size', 'the', 'pacific', 'ocean', 'the', 'atlantic', 'ocean', 'the', 'indian', 'ocean', 'the', 'southern', 'ocean', 'and', 'the', 'arctic', 'ocean']",English
"['smaller', 'regions', 'of', 'the', 'oceans', 'are', 'called', 'seas', 'gulfs', 'bays', 'and', 'other', 'names']",English
"['there', 'are', 'also', 'salt', 'lakes', 'which', 'are', 'smaller', 'bodies', 'of', 'landlocked', 'saltwater', 'that', 'are', 'not', 'interconnected', 'with', 'the', 'world', 'ocean']",English
"['two', 'notable', 'examples', 'of', 'salt', 'lakes', 'are', 'the', 'aral', 'sea', 'and', 'the', 'great', 'salt', 'lake']",English
"['a', 'lake', 'from', 'latin', 'word', 'lacus', 'is', 'a', 'terrain', 'feature', 'or', 'physical', 'feature', 'a', 'body', 'of', 'liquid', 'on', 'the', 'surface', 'of', 'a', 'world', 'that', 'is', 'localized', 'to', 'the', 'bottom', 'of', 'basin', 'another', 'type', 'of', 'landform', 'or', 'terrain', 'feature', 'that', 'is', 'it', 'is', 'not', 'global', 'and', 'moves', 'slowly', 'if', 'it', 'moves', 'at', 'all']",English
"['on', 'earth', 'a', 'body', 'of', 'water', 'is', 'considered', 'a', 'lake', 'when', 'it', 'is', 'inland', 'not', 'part', 'of', 'the', 'ocean', 'is', 'larger', 'and', 'deeper', 'than', 'a', 'pond', 'and', 'is', 'fed', 'by', 'a', 'river']",English
"['the', 'only', 'world', 'other', 'than', 'earth', 'known', 'to', 'harbor', 'lakes', 'is', 'titan', 'saturns', 'largest', 'moon', 'which', 'has', 'lakes', 'of', 'ethane', 'most', 'likely', 'mixed', 'with', 'methane']",English
"['it', 'is', 'not', 'known', 'if', 'titans', 'lakes', 'are', 'fed', 'by', 'rivers', 'though', 'titans', 'surface', 'is', 'carved', 'by', 'numerous', 'river', 'beds']",English
"['natural', 'lakes', 'on', 'earth', 'are', 'generally', 'found', 'in', 'mountainous', 'areas', 'rift', 'zones', 'and', 'areas', 'with', 'ongoing', 'or', 'recent', 'glaciation']",English
"['other', 'lakes', 'are', 'found', 'in', 'endorheic', 'basins', 'or', 'along', 'the', 'courses', 'of', 'mature', 'rivers']",English
"['in', 'some', 'parts', 'of', 'the', 'world', 'there', 'are', 'many', 'lakes', 'because', 'of', 'chaotic', 'drainage', 'patterns', 'left', 'over', 'from', 'the', 'last', 'ice', 'age']",English
"['all', 'lakes', 'are', 'temporary', 'over', 'geologic', 'time', 'scales', 'as', 'they', 'will', 'slowly', 'fill', 'in', 'with', 'sediments', 'or', 'spill', 'out', 'of', 'the', 'basin', 'containing', 'them']",English
"['a', 'pond', 'is', 'a', 'body', 'of', 'standing', 'water', 'either', 'natural', 'or', 'manmade', 'that', 'is', 'usually', 'smaller', 'than', 'a', 'lake']",English
"['a', 'wide', 'variety', 'of', 'manmade', 'bodies', 'of', 'water', 'are', 'classified', 'as', 'ponds', 'including', 'water', 'gardens', 'designed', 'for', 'aesthetic', 'ornamentation', 'fish', 'ponds', 'designed', 'for', 'commercial', 'fish', 'breeding', 'and', 'solar', 'ponds', 'designed', 'to', 'store', 'thermal', 'energy']",English
"['ponds', 'and', 'lakes', 'are', 'distinguished', 'from', 'streams', 'via', 'current', 'speed']",English
"['while', 'currents', 'in', 'streams', 'are', 'easily', 'observed', 'ponds', 'and', 'lakes', 'possess', 'thermally', 'driven', 'microcurrents', 'and', 'moderate', 'wind', 'driven', 'currents']",English
"['these', 'features', 'distinguish', 'a', 'pond', 'from', 'many', 'other', 'aquatic', 'terrain', 'features', 'such', 'as', 'stream', 'pools', 'and', 'tide', 'pools']",English
"['a', 'river', 'is', 'a', 'natural', 'watercourse', 'usually', 'freshwater', 'flowing', 'towards', 'an', 'ocean', 'a', 'lake', 'a', 'sea', 'or', 'another', 'river']",English
"['in', 'a', 'few', 'cases', 'a', 'river', 'simply', 'flows', 'into', 'the', 'ground', 'or', 'dries', 'up', 'completely', 'before', 'reaching', 'another', 'body', 'of', 'water']",English
"['small', 'rivers', 'may', 'also', 'be', 'called', 'by', 'several', 'other', 'names', 'including', 'stream', 'creek', 'brook', 'rivulet', 'and', 'rill', 'there', 'is', 'no', 'general', 'rule', 'that', 'defines', 'what', 'can', 'be', 'called', 'a', 'river']",English
"['many', 'names', 'for', 'small', 'rivers', 'are', 'specific', 'to', 'geographic', 'location', 'one', 'example', 'is', 'burn', 'in', 'scotland', 'and', 'northeast', 'england']",English
"['sometimes', 'a', 'river', 'is', 'said', 'to', 'be', 'larger', 'than', 'a', 'creek', 'but', 'this', 'is', 'not', 'always', 'the', 'case', 'due', 'to', 'vagueness', 'in', 'the', 'language']",English
"['a', 'river', 'is', 'part', 'of', 'the', 'hydrological', 'cycle']",English
"['water', 'within', 'a', 'river', 'is', 'generally', 'collected', 'from', 'precipitation', 'through', 'surface', 'runoff', 'groundwater', 'recharge', 'springs', 'and', 'the', 'release', 'of', 'stored', 'water', 'in', 'natural', 'ice', 'and', 'snowpacks', 'ie', 'from', 'glaciers']",English
"['a', 'stream', 'is', 'a', 'flowing', 'body', 'of', 'water', 'with', 'a', 'current', 'confined', 'within', 'a', 'bed', 'and', 'stream', 'banks']",English
"['in', 'the', 'united', 'states', 'a', 'stream', 'is', 'classified', 'as', 'a', 'watercourse', 'less', 'than', 'feet', 'metres', 'wide']",English
"['streams', 'are', 'important', 'as', 'conduits', 'in', 'the', 'water', 'cycle', 'instruments', 'in', 'groundwater', 'recharge', 'and', 'they', 'serve', 'as', 'corridors', 'for', 'fish', 'and', 'wildlife', 'migration']",English
"['the', 'biological', 'habitat', 'in', 'the', 'immediate', 'vicinity', 'of', 'a', 'stream', 'is', 'called', 'a', 'riparian', 'zone']",English
"['given', 'the', 'status', 'of', 'the', 'ongoing', 'holocene', 'extinction', 'streams', 'play', 'an', 'important', 'corridor', 'role', 'in', 'connecting', 'fragmented', 'habitats', 'and', 'thus', 'in', 'conserving', 'biodiversity']",English
"['the', 'study', 'of', 'streams', 'and', 'waterways', 'in', 'general', 'involves', 'many', 'branches', 'of', 'interdisciplinary', 'natural', 'science', 'and', 'engineering', 'including', 'hydrology', 'fluvial', 'geomorphology', 'aquatic', 'ecology', 'fish', 'biology', 'riparian', 'ecology', 'and', 'others']",English
"['ecosystems', 'are', 'composed', 'of', 'a', 'variety', 'of', 'biotic', 'and', 'abiotic', 'components', 'that', 'function', 'in', 'an', 'interrelated', 'way']",English
"['the', 'structure', 'and', 'composition', 'is', 'determined', 'by', 'various', 'environmental', 'factors', 'that', 'are', 'interrelated']",English
"['variations', 'of', 'these', 'factors', 'will', 'initiate', 'dynamic', 'modifications', 'to', 'the', 'ecosystem']",English
"['some', 'of', 'the', 'more', 'important', 'components', 'are', 'soil', 'atmosphere', 'radiation', 'from', 'the', 'sun', 'water', 'and', 'living', 'organisms']",English
"['central', 'to', 'the', 'ecosystem', 'concept', 'is', 'the', 'idea', 'that', 'living', 'organisms', 'interact', 'with', 'every', 'other', 'element', 'in', 'their', 'local', 'environment']",English
"['eugene', 'odum', 'a', 'founder', 'of', 'ecology', 'stated', 'any', 'unit', 'that', 'includes', 'all', 'of', 'the', 'organisms', 'ie', 'the', 'community', 'in', 'a', 'given', 'area', 'interacting', 'with', 'the', 'physical', 'environment', 'so', 'that', 'a', 'flow', 'of', 'energy', 'leads', 'to', 'clearly', 'defined', 'trophic', 'structure', 'biotic', 'diversity', 'and', 'material', 'cycles', 'ie']",English
"['exchange', 'of', 'materials', 'between', 'living', 'and', 'nonliving', 'parts', 'within', 'the', 'system', 'is', 'an', 'ecosystem']",English
